AudioID,ecstacy,joy,serenity,love,admiration,trust,acceptance,submission,terror,fear,apprehension,awe,amazement,surprise,distraction,disapproval,grief,sadness,pensiveness,remorse,loathing,disgust,boredom,contempt,rage,anger,annoyance,aggresiveness,vigilance,anticipation,interest,optimism,speaker ID,gender,age,ageClass,mbtiSingle,mbtiDouble,lang
1,0.107142857,0.178571429,0.071428571,0,0.071428571,0.071428571,0.035714286,0.035714286,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0.107142857,0,0.107142857,0.107142857,0,speaker1,male,Youth,Youth,i,in,ce
2,0.173913043,0.260869565,0.173913043,0.043478261,0,0.086956522,0.043478261,0,0.043478261,0,0,0,0,0,0,0.043478261,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,speaker2,female,中年,Non-Youth,e,es,ce
3,0.47826087,0.130434783,0,0,0,0.043478261,0.043478261,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0.086956522,0,0.130434783,0,speaker3,male,中年,Non-Youth,none,none,ce
4,0.347826087,0.347826087,0.043478261,0,0,0.043478261,0.043478261,0,0,0.043478261,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0.043478261,0,speaker3,male,中年,Non-Youth,none,none,ce
5,0.045454545,0.545454545,0.045454545,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0.090909091,0.136363636,0.045454545,0,speaker4,male,中年,Non-Youth,none,none,mc
6,0.103448276,0.275862069,0.034482759,0.034482759,0,0,0.068965517,0,0,0.034482759,0,0.068965517,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0.068965517,0,0.034482759,0.034482759,0.137931034,0.068965517,speaker4,male,中年,Non-Youth,none,none,mc
7,0.096774194,0.096774194,0.096774194,0,0.129032258,0.032258065,0.129032258,0.032258065,0,0,0,0.096774194,0,0,0,0.032258065,0,0,0,0,0,0,0.032258065,0,0,0.032258065,0,0,0,0.129032258,0.032258065,0.032258065,speaker4,male,中年,Non-Youth,none,none,mc
8,0,0.25,0.083333333,0,0.041666667,0,0,0,0,0,0,0.166666667,0,0,0.083333333,0,0,0,0.041666667,0,0,0.041666667,0.041666667,0,0,0,0.083333333,0.041666667,0.041666667,0.041666667,0.041666667,0,speaker4,male,中年,Non-Youth,none,none,mc
9,0,0.153846154,0.153846154,0,0,0,0.038461538,0.038461538,0,0.038461538,0.038461538,0.192307692,0,0.038461538,0.076923077,0.038461538,0.038461538,0,0.038461538,0.038461538,0,0,0.038461538,0,0,0,0,0,0,0.038461538,0,0,speaker4,male,中年,Non-Youth,none,none,mc
10,0,0.12,0.28,0,0,0.12,0.08,0.04,0,0,0,0.12,0,0.04,0,0.04,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.04,0.04,speaker4,male,中年,Non-Youth,none,none,mc
11,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0.111111111,0.037037037,0.222222222,0,0,0,0,0,0,0.037037037,0,0.037037037,0.148148148,0,0.148148148,0.037037037,0.037037037,0.037037037,0,0,0,speaker4,male,中年,Non-Youth,none,none,mc
12,0,0,0.12,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0.04,0,0,0,0,0,0.04,0.16,0.04,0.36,0,0.04,0.12,0,0,0,speaker4,male,中年,Non-Youth,none,none,mc
13,0,0.03125,0.03125,0,0.03125,0.03125,0,0,0,0,0.0625,0,0.03125,0.09375,0.0625,0,0,0,0,0,0,0.03125,0.09375,0,0.03125,0.28125,0.03125,0.15625,0,0,0,0,speaker4,male,中年,Non-Youth,none,none,mc
14,0,0.047619048,0.285714286,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0.19047619,0,0,0.047619048,0,0.047619048,0,0.047619048,0.047619048,0,0,0.047619048,0.095238095,0,0,0.047619048,0,0,0,speaker5,female,22岁,Youth,e,es,ce
15,0,0.12,0.24,0,0,0.08,0.16,0,0,0,0,0.04,0,0.16,0,0,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0.04,0,0,speaker5,female,22岁,Youth,e,es,ce
16,0,0.034482759,0.068965517,0,0,0,0,0,0,0.068965517,0,0,0.034482759,0.310344828,0.068965517,0.103448276,0,0.068965517,0.034482759,0,0,0,0.034482759,0,0,0,0,0.068965517,0.068965517,0,0.034482759,0,speaker5,female,22岁,Youth,e,es,ce
17,0,0,0.153846154,0,0,0,0.115384615,0,0,0,0,0,0.038461538,0.153846154,0.115384615,0.076923077,0,0,0,0.038461538,0,0,0.115384615,0.076923077,0,0,0,0,0.038461538,0,0,0.076923077,speaker5,female,22岁,Youth,e,es,me
18,0,0.130434783,0.130434783,0,0,0,0,0,0,0,0,0.043478261,0,0.130434783,0.043478261,0,0,0,0.043478261,0,0,0.043478261,0.086956522,0,0,0,0.043478261,0,0.043478261,0.043478261,0.173913043,0.043478261,speaker5,female,22岁,Youth,e,es,ce
